id_referencia,categoria,pais,anio,marca,precio_usd,producto
88,Belleza,Colombia,2025,Generic,142.64,Perfume
89,Computación,Colombia,2025,MasterTech,1090.56,Teclado Mecánico
90,Electrónica,México,2025,MasterTech,571.77,Parlante
91,Belleza,Argentina,2024,Premium,55.9,Crema Facial
92,Juguetería,Argentina,2025,Generic,98.53,Muñeca
93,Automotriz,Chile,2025,Generic,435.63,Frenos
94,Juguetería,México,2025,Ultra,95.15,Legos
95,Deporte,Perú,2025,MasterTech,369.78,Bicicleta
96,Deporte,Colombia,2025,Generic,203.88,Bicicleta
97,Automotriz,México,2024,MasterTech,38.93,Aceite Motor
98,Automotriz,México,2025,MasterTech,733.18,Radio Auto
99,Electrónica,México,2025,Premium,539.32,Audífonos
