id_referencia,categoria,pais,anio,marca,precio_usd,producto
64,Automotriz,Chile,2025,EcoLine,459.27,Raadio Auto
65,Belleza,Perú,2025,Premium,11.57,Maaquillaje
66,Electrónica,México,2024,Ultra,1123.74,Cásara
67,Automotriz,Colombia,2025,Ultra,702.19,Frrenos
68,Hogar,Chile,2025,MasterTech,257.83,Sillw
69,Belleza,Colombia,2024,Premium,34.86,P4rfume
70,Automotriz,Chile,2024,Ultra,589.03,aRdio Auto
71,Deporte,Argentina,2025,Generic,179.99,dalón
72,Juguetería,México,2024,Ultra,68.14,Aut ocontrol remoto
73,Computación,México,2024,EcoLine,375.56,Laotop
74,Electrónica,Chile,2025,EcoLine,1133.05,Parlnate
75,Juguetería,Perú,2025,Generic,51.32,Muñecw
76,Belleza,Perú,2025,Ultra,74.76,Perfuke
77,Deporte,México,2024,Premium,126.74,Cuerda
78,Computación,Argentina,2024,Ultra,772.25,Teclado Mecánic
79,Automotriz,Chile,2024,Premium,651.93,Aceite Moyor
80,Computación,Colombia,2024,EcoLine,1427.58,Montor
81,Hogar,México,2024,MasterTech,190.23,Mess
82,Computación,México,2024,MasterTech,1038.46,Mouse Pqd
83,Juguetería,Argentina,2025,EcoLine,109.84,Lgos
84,Juguetería,Colombia,2024,MasterTech,108.14,Muñefa
85,Hogar,México,2024,Ultra,208.94,Láámpara
86,Hogar,Chile,2025,Premium,148.78,MMesa
87,Electrónica,Colombia,2024,Premium,1488.0,Auídfonos
88,Belleza,Colombia,2025,Generic,142.64,PPerfume
89,Computación,Colombia,2025,MasterTech,1090.56,Tecldao Mecánico
90,Electrónica,México,2025,MasterTech,571.77,Prlante
91,Belleza,Argentina,2024,Premium,55.9,Crea Facial
92,Juguetería,Argentina,2025,Generic,98.53,juñeca
93,Automotriz,Chile,2025,Generic,435.63,Freno
94,Juguetería,México,2025,Ultra,95.15,eLgos
95,Deporte,Perú,2025,MasterTech,369.78,Bicocleta
96,Deporte,Colombia,2025,Generic,203.88,uicicleta
97,Automotriz,México,2024,MasterTech,38.93,AceiteM otor
98,Automotriz,México,2025,MasterTech,733.18,Radio Autto
99,Electrónica,México,2025,Premium,539.32,Audífwnos
